0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
El Sendero Forestal (Pathforest) S.A.,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
LA ESTANCIA FORESTAL (FORESTEAD) S.A. ,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
LA COLINA FORESTAL(HILLFOREST) S.A. ,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
La Sabana Forestal (Plainforest) S.A.,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
La Cumbre Forestal (Peakforest) S.A.,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Retratorec S.A.,3.4,3.4,3.4,3.4,3.4,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.5,3.5,3.5,3.5
La Vanguardia Forestal (Vanguarforest),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.29,2.29,2.29
Superdeporte,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05
Cerro Alto Forestal (Highforest),15,15,15,15,15,15,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.05,15.05,15.05
SURPAPELCORP,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
ENERGY & PALMA ENERGYPALMA S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMINOSCA S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO GRANDE FORESTAL S.A.,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62
ARTES GRAFICAS SENEFELDER C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA ENSENADA FORESTAL ( COVEFOREST) S.A. ,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85
INGENIO AZUCARERO DEL NORTE IANCEM,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
VALLE GRANDE FORESTAL (VALLEYFOREST) S.A.,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.8,2.8,2.8,2.8,2.8,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82
NATLUK S.A.,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,7,7,7,7,7,7,7,7,7,7,6.75,6.75,6.75,7
Caminosca S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cepsa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conclina S.A. Preferidas  Serie A,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5000,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,4500,4500,4500,5500
Conclina S.A. Preferidas  Serie B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Conclina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Corporación Favorita C.A.,2.64,2.65,2.59,2.45,2.56,2.49,2.48,2.45,2.45,2.45,2.38,2.5,2.5,2.5,2.46,2.34,2.37,2.48,2.32,2.23,2.12,2.25,2.39,2.4,2.43,2.35,2.24
HOTEL COLON,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.62,0.62,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Cialco S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECATEAK S.A.,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
BEVERAGE BRAND & PATENTS S.A.,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
SIEMPREVERDE S.A.,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
BRIKAPITAL S.A. ,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,948,945,946,943,939
Compañía de economía mixta hotelera y turística Ambato,,,,,,,,,,,,,,,,,,,,,,,,,,,
